"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_expiration <#1>","datakairos.unif.fr/192.33.182.243","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","datakairos.unif.fr/192.33.182.243","443","INFO","R10 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","datakairos.unif.fr/192.33.182.243","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","datakairos.unif.fr/192.33.182.243","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","datakairos.unif.fr/192.33.182.243","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","datakairos.unif.fr/192.33.182.243","443","INFO","1733622746","",""
"HSTS","datakairos.unif.fr/192.33.182.243","443","LOW","not offered","",""
"HPKP","datakairos.unif.fr/192.33.182.243","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","datakairos.unif.fr/192.33.182.243","443","INFO","nginx/1.18.0 (Ubuntu)","",""
"banner_application","datakairos.unif.fr/192.33.182.243","443","INFO","No application banner found","",""
"cookie_count","datakairos.unif.fr/192.33.182.243","443","INFO","0 at '/'","",""
"security_headers","datakairos.unif.fr/192.33.182.243","443","MEDIUM","--","",""
"banner_reverseproxy","datakairos.unif.fr/192.33.182.243","443","INFO","--","","CWE-200"
"heartbleed","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","datakairos.unif.fr/192.33.182.243","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","datakairos.unif.fr/192.33.182.243","443","OK","supported","","CWE-310"
"secure_client_renego","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","datakairos.unif.fr/192.33.182.243","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","datakairos.unif.fr/192.33.182.243","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","datakairos.unif.fr/192.33.182.243","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=00F175A309350C812479433D8AE40D5DB784720251050D7C62022F2168AA1B74","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM-common_primes","datakairos.unif.fr/192.33.182.243","443","INFO","RFC7919/ffdhe2048","CVE-2015-4000","CWE-310"
"LOGJAM","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"BEAST","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","datakairos.unif.fr/192.33.182.243","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_X","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_11","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_12","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_79_win10","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_101_win10","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_66_win81","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_100_win10","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_6_xp","datakairos.unif.fr/192.33.182.243","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","datakairos.unif.fr/192.33.182.243","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","datakairos.unif.fr/192.33.182.243","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.2 DHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_win81","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.2 DHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_winphone81","datakairos.unif.fr/192.33.182.243","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_121_ios_122","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","datakairos.unif.fr/192.33.182.243","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
